1	NES - laboratory master image
3	Сургут ЦРБ
4	Арзамас
5	Барнаул  ККБ
6	Бугульма ЦРБ
7	Великий Новгород, ОКБ№1
8	Вологда ГУЗ ВОБ №1
9	ОНГ Воронеж-2
10	Воронеж ОКБ
11	ОНГ Гатчина ОКБ
12	БСМП г.Дзержинск
13	Иваново ОКБ
14	НЦ Кострома
15	Курск ОКБ
16	Курчатов МСЧ № 125
17	Москва ФМБА №119
18	ГКБ им.С.П.Боткина
19	Москва ФМБА №83
20	МОНИКИ
21	Нижнекамск УП НГМБ №3 (ГКБ №3)
22	Нижний Новгород ГКБ №33
23	ОНГ Новокузнецк
24	Омск  ОКБ
25	ОНГ Омск ГКБ№1 им. Кабанова
26	Орел
27	Саров ФМБА №50
28	Северск ФМБА №81
29	Смоленск
30	ОНГ Тюмень
31	Брянск
32	ГКБ 24
33	1 хиругия
34	1 хирургическое отделение
35	1 эндокринология
36	5 терапия
37	4 хирургическое отделение
38	СПбГПМА
39	Удомля МСЧ № 141
40	Балаково
41	Полярные Зори ФГУЗ МСЧ№118
42	Сибай МУЗ ЦГБ
43	Белебей, МУЦЦБ
44	Нягань
45	Санкт-Петербург СПМУ им.Павлова
46	Железногорск, МСЧ№51
47	ОНГ Кемерово
48	Железногорск РГКБ (ЦКБ)
49	Сочи ГКБ №4
50	Ханты-Мансийск ОКБ
51	Одинцово МСЧ № 123
52	Нижневартовск ОДБ
53	Детская городская клиническая больница № 9 им. Г.Н. Сперанского
54	Димитровград, мед сан часть 172
55	г. Слободской Кировской области
56	Киров ОКБ
57	г. Тула
58	г. Белово
59	г. Кинешма
60	Нижневартовск `Клиники Современной Медицины`
61	ОНГ Ишим
62	ОНГ Галич
63	ОНГ Шарья
64	ОНГ Россошь
65	ОНГ Воронеж ОКБ
66	ОНГ Нефтеюганск
67	ОНГ Борисоглебск
68	ОНГ Патрушева
69	г. Орёл, ООО «Диалам»
70	ОНГ Тобольск
71	Поликлиника НПО Румед г.Кострома
72	ОНГ Луга
73	ОНГ Омск-2
74	ОНГ Лиски
75	ОНГ Прокопьевск
76	Лаборатория г. Кострома
77	Лаборатория г. Воронеж (ОКБ)
78	Лаборатория г. Тюмень (Котовского)
79	Лаборатория г. Белово
80	Лаборатория г. Кемерово
81	Лаборатория г. Гатчина
82	Лаборатория г. Омск
83	лабораторный центр г. Белово
84	ОГБУЗ ГБ г.Кострома №385
85	Maximus in Hamburg
86	Maximus in Madrid
87	Лаборатория г. Прокопьевск
88	ОНГ Кызыл
89	Лаборатория г. Кызыл
90	ОНГ Тихвин
91	ОНГ Новокузнецк-2
92	Поликлиника г.Киров
93	Клиника Тареева
94	DialMax
95	ОНГ Кириши
96	ОНГ Смоленск
98	ОНГ Рыбинск
99	ОНГ Бутово
100	ОАД Кемерово-2 (Терешковой)
101	ОНГ Красноярск
102	ОНГ Ульяновск
104	ОНГ Анжеро-Судженск
105	Кемерово Октябрьский
106	ОНГ Ленинск-Кузнецк
107	ОНГ Рязань
108	ОНГ Барнаул
110	ОНГ Томск
112	ОНГ Сыктывкар
114	ОНГ Лодейное поле
116	ОНГ Тула
119	ОНГ Набережные Челны
121	ОНГ Йошкар-Ола
196	Смоленск поликлиника
200	ООО «ЦАД45» Курган 
203	ГКБ 52
204	MedsMedia
208	Барнаул поликлиника
301	ГКБ им. С.П. Боткина
1100	Тестовая виртуальная лаба
1101	виртуальная лаба первого созыва
1102	виртуальная лаба второго созыва
1103	виртуальная лаба третьего созыва